"Source","Title","Content","Theme","Date"
"LinkedIn","My Linux Journey","My Linux Journey: WSL -> Ubuntu -> EndeavorOS (Arch-based) -> Omarchy. Recently, I completely corrupted my EndeavourOS setup... failure forced me to finally understand how my OS actually works. Key takeaways: EVERYTHING is a file/folder... I’ll be publishing a guide next week.","Linux, OpenSource, DevOps, Omarchy, SoftwareEngineering","2025-12-05T00:00:00.000"
"LinkedIn","Voice to Text on Linux","I love the open source community. I really wanted the functionality of the Mac and Windows exclusive Wispr Flow on my Linux setup. I found HyprFlow... It is perfect for prompting AI and replying to messages efficiently.","AI, Hyprland, Productivity, OpenSource, Linux","2025-12-03T00:00:00.000"
"LinkedIn","Learning Go Resources","Found this neat YouTube playlist made by Matt Holiday for anyone that wants to learn Go. I realized I may have skipped some crucial Go basics... Been trying to work on writing more notes using Obsidian.","LearningInPublic, Golang, Gophers, Obsidian","2025-12-02T00:00:00.000"
"LinkedIn","Hyprtask Refactor","Refactored my Go TUI (Hyprtask) task manager data pipeline. Key changes: Enhanced procfs integration, Single efficient pipeline, Bubbles table component. Much cleaner architecture and better performance.","GoLang, BubbleTea, Bubbles, TUI, Hyprland","2025-10-21T00:00:00.000"
"LinkedIn","Converting a Friend to Linux","Just got my friend Alex Leventis to see the beauty of Hyprland! He was on Ubuntu... I showed him the magic of workspaces and tiling window management. Omarchy comes with Hyprland and Arch pre-installed.","Hyprland, Omarchy, Linux","2025-10-19T00:00:00.000"
"LinkedIn","Hyprtask Message Passing","Made progress on Hyprland, my workspace-based terminal task manager, today. Implemented Bubble Tea’s message passing system for screen navigation. The message passing keeps everything clean.","GoLang, BubbleTea, TUI, DevLog","2025-10-18T00:00:00.000"
"LinkedIn","Orlando JUG Meetup","Great time at the Orlando JUG (Java User Group) meetup this week for the developer career talk. I learned that Java has a mascot, and I got to learn all about REPUTATION: Responsibility Expertise Purpose Uplift Take Action Autonomy Trust.","Career, Java, Community","2025-10-16T00:00:00.000"
"LinkedIn","Hyprtask Responsiveness","Excited to share a key update on my TUI task manager for Hyprland, the layout is now fully responsive! I implemented this using Go and the Bubble Tea framework. The Elm-style architecture makes it simple to handle terminal resize events.","GoLang, TUI, BubbleTea, Responsiveness, SoftwareDevelopment, Hyprland","2025-10-15T00:00:00.000"
"LinkedIn","AI for UI Design","Just shipped my first attempt at a TUI for HyprTask. I took inspiration from Lawrence Lockhart talk on using JSON for AI prompts. Instead of describing layouts in plain text, I built structured JSON prompts to define every element.","Go, TUI, BubbleTea, Hyprland, OpenSource, JSON, PromptEngineering, AI","2025-10-12T00:00:00.000"
"LinkedIn","Learning Go Concurrency","Working on hyprtask for Hyprland! Today I learned about Go mutexes & channels. Basically a safe way to access data that's being used by multiple concurrent functions. Used them to build a solid data pipeline.","Hyprland, GoLang","2025-10-11T00:00:00.000"
"LinkedIn","Building HyprTask","I’ve been using Linux (Arch btw) on and off for about a year now... To do so, I’m building a terminal-based task manager in Go, designed for the Hyprland window manager. It’s workspace-aware.","Linux, Go, Hyprland, Terminal","2025-10-10T00:00:00.000"
"LinkedIn","Developer Portfolio Launch","I just published a blog post about my League of Legends–inspired developer portfolio! One of my favorite features is a real-time tracker that pulls live data from LeetCode, GitHub, Anki, and Riot’s API.","Portfolio, Frontend, WebDev","2025-10-01T00:00:00.000"
"LinkedIn","CYC2025 Conference Takeaways","Had an amazing time in Dallas for #CYC2025. Here are a few lessons I’m taking away: 1. Promote Positivity 2. Contribute to Open Source 3. Build a Network. It was such a valuable experience.","Career, OpenSource, Networking, CYC2025","2025-09-28T00:00:00.000"